auditory_attention,visual_attention,interest,stress,engagement,class
0.570078,0.53975125,0.55068025,0.5802005,0.74533475,funny
0.5718985,0.54453525,0.5236305,0.57797025,0.75062375,funny
0.56498275,0.5427195,0.507351,0.54598325,0.74668675,funny
0.5569665,0.5426435,0.504308,0.5047315,0.729341,funny
0.55401175,0.54109825,0.50268725,0.4994695,0.69963275,funny
0.55260675,0.5310425,0.49648675,0.485697,0.6830985,funny
0.54865175,0.519579,0.49018625,0.45296875,0.692852,funny
0.5531565,0.51036925,0.48830425,0.43320925,0.713165,funny
0.55895675,0.50331175,0.49155125,0.43167825,0.73357125,funny
0.5618985,0.50207875,0.50743475,0.44929925,0.7595275,funny
0.56416275,0.50442375,0.518048,0.458531,0.77851,funny
0.569888,0.5089845,0.524759,0.4525235,0.7786135,funny
0.57618,0.51219775,0.51868325,0.44008875,0.76532475,funny
0.57267925,0.50742425,0.49704275,0.4600635,0.75610525,funny
0.5636595,0.50098675,0.496511,0.45566525,0.761857,funny
0.5570635,0.48995125,0.50208875,0.445032,0.77747025,funny
0.55368425,0.4829125,0.497265,0.43118625,0.78502,funny
0.5550535,0.4882335,0.49211675,0.387379,0.79105425,funny
0.559788,0.492234,0.4873505,0.33735125,0.80213175,funny
0.56907275,0.50269975,0.4866755,0.297347,0.809713,funny
0.57333875,0.511674,0.4893665,0.28344325,0.80943125,funny
0.57857875,0.51432225,0.48925025,0.27506275,0.80646525,funny
0.578114,0.50532,0.490682,0.32409025,0.8049945,funny
0.574745,0.494228,0.49542925,0.34494275,0.803915,funny
0.56078025,0.481458,0.50382575,0.34522575,0.79793175,funny
0.548742,0.481508,0.5058735,0.36585,0.79467625,funny
0.54436225,0.48825825,0.49968425,0.3769415,0.79121575,funny
0.55363175,0.49786675,0.49982125,0.38777325,0.78703325,funny
0.56265425,0.506277,0.5015905,0.414965,0.77412875,funny
0.56433375,0.51076675,0.500391,0.46020075,0.759451,funny
0.5551515,0.5034445,0.50819025,0.4690645,0.753366,funny
0.5358775,0.49148075,0.526405,0.498219,0.74324175,funny
0.52446575,0.486924,0.52680675,0.542108,0.73070625,funny
0.51429375,0.486696,0.5071815,0.5377645,0.7034705,funny
0.51673475,0.49318625,0.4934525,0.4928315,0.699571,funny
0.520126,0.48687425,0.49167675,0.44118875,0.70460325,funny
0.522752,0.4816435,0.4949535,0.4220225,0.7025165,funny
0.52577475,0.4808685,0.49984825,0.45848775,0.70305375,funny
0.532982,0.4811835,0.529239,0.4670755,0.71177725,funny
0.52860325,0.46562275,0.54135,0.4298405,0.7234815,funny
0.519081,0.456209,0.528035,0.42691375,0.7330185,funny
0.509113,0.45661625,0.52044625,0.42614375,0.73798,funny
0.507437,0.46448,0.5203525,0.40187575,0.73887025,funny
0.51086325,0.47774875,0.51611825,0.38764575,0.735832,funny
0.51165975,0.48269775,0.51131,0.37742075,0.741836,funny
0.51601125,0.495527,0.5115925,0.35919875,0.74003825,funny
0.53365525,0.5136915,0.5138445,0.35760375,0.74241425,funny
0.5524205,0.53029175,0.51096875,0.36001775,0.75357625,funny
0.559359,0.52957075,0.50569975,0.35637975,0.7693785,funny
0.5518605,0.514612,0.5054315,0.3527105,0.77653175,funny
0.5414515,0.5011235,0.505111,0.34767375,0.7662575,funny
0.53572775,0.4866085,0.509062,0.327335,0.752282,funny
0.53902625,0.472212,0.53243025,0.30190675,0.74678625,funny
0.54212675,0.47094025,0.54705125,0.2837015,0.7449805,funny
0.5457945,0.4803915,0.5493765,0.27598125,0.73946825,funny
0.554291,0.49394225,0.55264925,0.29510025,0.7365015,funny
0.56092175,0.502747,0.54198875,0.352487,0.73998675,funny
0.56129775,0.5080945,0.56282775,0.3913285,0.74676025,funny
0.55286375,0.50262075,0.597059,0.37568275,0.74873325,funny
0.534475,0.4893815,0.5782395,0.369324,0.7564065,funny
0.52037675,0.478494,0.5435305,0.36660175,0.76013275,funny
0.50936675,0.466375,0.524228,0.3520185,0.75010725,funny
0.50180425,0.461127,0.5130085,0.374508,0.72959375,funny
0.50400625,0.4662585,0.50627075,0.3960025,0.72782425,funny
0.5172015,0.4762665,0.5100275,0.39964625,0.72506225,funny
0.538514,0.48295475,0.51986075,0.39634875,0.73038025,funny
0.5564185,0.4864575,0.522416,0.38666525,0.7295675,funny
0.56767,0.48935225,0.52145225,0.37907825,0.729226,funny
0.57755725,0.500036,0.5204695,0.380536,0.73350225,funny
0.58528875,0.5169365,0.5175225,0.3562285,0.74649375,funny
0.59320325,0.53452475,0.5113345,0.331203,0.75606675,funny
0.594198,0.54378575,0.50680925,0.336224,0.76506875,funny
0.58691075,0.53896375,0.50568175,0.376938,0.77236825,funny
0.57338675,0.52550025,0.50901525,0.4219835,0.77304325,funny
0.5547705,0.50927825,0.51312875,0.4229975,0.7738255,funny
0.53744525,0.49787825,0.51835425,0.4121485,0.77850325,funny
0.530223,0.4867615,0.52402525,0.40867925,0.78433525,funny
0.53073475,0.47594275,0.52456125,0.38164025,0.78768725,funny
0.53487075,0.47102525,0.5185085,0.38934575,0.78202275,funny
0.53383975,0.46948125,0.53348375,0.49017425,0.77624425,funny
0.530721,0.48139375,0.56797875,0.53407825,0.77123125,funny
0.52923,0.490516,0.564923,0.50865125,0.76670525,funny
0.53892625,0.49800125,0.54573375,0.48893325,0.76404625,funny
0.5533545,0.505193,0.53122325,0.483163,0.7676655,funny
0.55894425,0.5063585,0.5527275,0.46340225,0.7532375,funny
0.54854975,0.50308,0.578775,0.3827,0.724286,funny
0.536678,0.49490875,0.55255825,0.3446235,0.70717175,funny
0.52303375,0.48117175,0.5504385,0.35825525,0.69584325,funny
0.50967825,0.4644705,0.55737375,0.39159,0.6948755,funny
0.50080225,0.45258875,0.5460545,0.44928275,0.7156415,funny
0.502063,0.44614325,0.53195775,0.475772,0.735823,funny
0.4987045,0.431946,0.524261,0.4687795,0.72853425,funny
0.49442925,0.4242945,0.52591225,0.49199175,0.714006,funny
0.49282,0.422705,0.52442325,0.5357265,0.686221,funny
0.49532825,0.42500175,0.5225645,0.54529475,0.67191675,funny
0.50172775,0.43018925,0.520415,0.50902825,0.68098825,funny
0.508761,0.4380045,0.51609175,0.44820625,0.70923325,funny
0.5175795,0.44434625,0.51395025,0.441771,0.72525925,funny
0.52645025,0.44960775,0.51522775,0.45244075,0.71865375,funny
0.52882275,0.45080575,0.520008,0.5106315,0.709557,funny
0.525116,0.45451275,0.52533925,0.5528785,0.710829,funny
0.51861275,0.45400275,0.5287875,0.542078,0.718335,funny
0.51503025,0.4506865,0.5271235,0.53730075,0.72212425,funny
0.51609825,0.4505265,0.52822475,0.588136,0.7164755,funny
0.5250705,0.46278625,0.537589,0.5465825,0.710054,funny
0.53157425,0.46809925,0.536281,0.47851575,0.7132145,funny
0.5274525,0.4605185,0.52851825,0.45351875,0.71895625,funny
0.5176435,0.45012725,0.52970275,0.449333,0.71272475,funny
0.5106795,0.441312,0.53452675,0.470051,0.6950145,funny
